2025-04-05 01:15:03 | INFO     | evolution.hyperparameter_tuner:__init__:73 - Khởi tạo HyperparameterTuner cho MSFT - monthly
2025-04-05 01:15:03 | INFO     | evolution.hyperparameter_tuner:tune:419 - Bắt đầu tối ưu hóa siêu tham số cho MSFT - monthly
2025-04-05 01:15:03 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 1/30: transformer, layers: 4, units: [64, 128, 128, 256], lr: 0.0005
2025-04-05 01:15:08 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 1 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:15:08 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 2/30: transformer, layers: 2, units: [256, 32], lr: 0.0005
2025-04-05 01:15:19 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 2 results: RMSE: 11.0238, Direction Accuracy: 83.33%
2025-04-05 01:15:19 | INFO     | evolution.hyperparameter_tuner:tune:465 - New best model found! rmse: 11.0238
2025-04-05 01:15:19 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 3/30: gru, layers: 1, units: [256], lr: 0.01
2025-04-05 01:15:25 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 3 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:15:25 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 4/30: lstm, layers: 4, units: [64, 32, 128, 64], lr: 0.0005
2025-04-05 01:15:41 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 4 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:15:41 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 5/30: transformer, layers: 4, units: [32, 64, 128, 128], lr: 0.0001
2025-04-05 01:15:44 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 5 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:15:44 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 6/30: lstm, layers: 1, units: [32], lr: 0.01
2025-04-05 01:15:48 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 6 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:15:48 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 7/30: gru, layers: 4, units: [32, 128, 128, 32], lr: 0.001
2025-04-05 01:17:05 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 7 results: RMSE: 8.1906, Direction Accuracy: 83.33%
2025-04-05 01:17:05 | INFO     | evolution.hyperparameter_tuner:tune:465 - New best model found! rmse: 8.1906
2025-04-05 01:17:05 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 8/30: transformer, layers: 4, units: [64, 32, 128, 256], lr: 0.01
2025-04-05 01:17:10 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 8 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:17:10 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 9/30: transformer, layers: 4, units: [64, 128, 256, 128], lr: 0.0005
2025-04-05 01:17:28 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 9 results: RMSE: 13.8749, Direction Accuracy: 83.33%
2025-04-05 01:17:28 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 10/30: transformer, layers: 4, units: [256, 256, 256, 64], lr: 0.0005
2025-04-05 01:17:44 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 10 results: RMSE: 15.7593, Direction Accuracy: 83.33%
2025-04-05 01:17:44 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 11/30: lstm, layers: 4, units: [128, 32, 128, 128], lr: 0.005
2025-04-05 01:17:57 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 11 results: RMSE: nan, Direction Accuracy: 83.33%
