timestamp,volume,vw,open,close,high,low,transactions
2023-08-11 04:00:00,56616788.0,15.3317,15.05,15.41,15.58,14.91,184529
2023-08-14 04:00:00,47504217.0,15.5057,15.2,15.72,15.74,14.95,161019
2023-08-15 04:00:00,44000374.0,15.5134,15.61,15.37,15.87,15.29,155633
2023-08-16 04:00:00,40394555.0,15.457,15.21,15.45,15.725,15.12,129998
2023-08-17 04:00:00,91086683.0,14.4904,15.39,14.15,15.4373,14.035,300599
2023-08-18 04:00:00,70169754.0,14.2533,13.88,14.4,14.6,13.68,225412
2023-08-21 04:00:00,43206161.0,14.5283,14.42,14.5,14.78,14.34,145307
2023-08-22 04:00:00,52106867.0,14.8418,14.76,14.67,15.13,14.63,156551
2023-08-23 04:00:00,53523342.0,15.1895,14.5,15.3,15.47,14.42,170645
2023-08-24 04:00:00,93586208.0,14.4582,15.7,14.14,15.71,13.875,324962
2023-08-25 04:00:00,55668905.0,14.3679,14.14,14.53,14.6499,14.01,173752
2023-08-28 04:00:00,35960177.0,14.6801,14.69,14.64,14.88,14.5,111557
2023-08-29 04:00:00,47213155.0,15.2888,14.6,15.4,15.63,14.5,155115
2023-08-30 04:00:00,65674056.0,16.0067,15.46,16.33,16.35,15.33,201541
2023-08-31 04:00:00,101517203.0,15.0525,15.6,14.98,15.85,14.65,320631
2023-09-01 04:00:00,45218573.0,15.1035,15.16,15.18,15.365,14.83,151658
2023-09-05 04:00:00,33818426.0,15.1812,15.08,15.21,15.42,14.9,128435
2023-09-06 04:00:00,38738076.0,15.282,15.17,15.3,15.62,15.08,119155
2023-09-07 04:00:00,51798780.0,14.827,14.88,15.21,15.24,14.29,166441
2023-09-08 04:00:00,33992562.0,15.2984,15.12,15.13,15.61,15.085,127075
2023-09-11 04:00:00,55294677.0,15.7791,15.41,15.79,16.1,15.36,180140
2023-09-12 04:00:00,39497916.0,15.7576,15.46,15.59,16.15,15.43,159420
2023-09-13 04:00:00,34354449.0,15.6339,15.63,15.6,15.8496,15.42,104260
2023-09-14 04:00:00,38572508.0,15.775,15.69,15.83,16.04,15.47,114139
2023-09-15 04:00:00,56271175.0,15.3329,15.77,15.33,15.9,15.17,142821
2023-09-18 04:00:00,37404081.0,15.4229,15.18,15.46,15.63,15.07,125160
2023-09-19 04:00:00,37804835.0,15.1366,15.34,15.15,15.519,14.95,113716
2023-09-20 04:00:00,37640487.0,15.088,15.25,14.74,15.425,14.7325,118762
2023-09-21 04:00:00,73047156.0,14.0927,14.34,14.0,14.599,13.68,252320
2023-09-22 04:00:00,47714543.0,14.2036,14.23,14.13,14.415,14.03,147672
2023-09-25 04:00:00,39693894.0,14.0978,14.0,14.22,14.24,13.82,126057
2023-09-26 04:00:00,37276213.0,14.0135,13.95,13.96,14.17,13.88,117059
2023-09-27 04:00:00,62780567.0,14.6693,14.2,14.85,14.96,14.16,186619
2023-09-28 04:00:00,66590819.0,15.557,15.14,15.77,15.96,14.825,214205
2023-09-29 04:00:00,77981083.0,16.2604,16.11,16.0,16.81,15.96,247046
2023-10-02 04:00:00,41043913.0,16.0147,16.03,15.88,16.44,15.77,150931
2023-10-03 04:00:00,51578129.0,15.1521,15.61,14.9,15.77,14.82,183035
2023-10-04 04:00:00,52786237.0,15.5266,15.46,15.73,15.85,15.16,183131
2023-10-05 04:00:00,49648072.0,15.6897,15.59,15.81,15.9,15.41,146128
2023-10-06 04:00:00,65946320.0,16.3153,15.56,16.61,16.695,15.51,204757
2023-10-09 04:00:00,106161182.0,17.2944,16.27,17.61,17.83,16.22,316975
2023-10-10 04:00:00,99971501.0,17.9951,18.06,17.8,18.4,17.62,300446
2023-10-11 04:00:00,55745629.0,18.0088,17.87,17.92,18.44,17.73,178536
2023-10-12 04:00:00,57940929.0,17.9718,17.92,17.94,18.24,17.5508,176582
2023-10-13 04:00:00,54881953.0,17.5264,18.06,17.36,18.16,17.27,171213
2023-10-16 04:00:00,44987257.0,17.2268,17.21,17.36,17.46,16.67,152002
2023-10-17 04:00:00,54401289.0,17.6977,17.0,17.84,18.03,16.91,155425
2023-10-18 04:00:00,44208265.0,17.5637,17.81,17.2,18.22,17.19,144154
2023-10-19 04:00:00,46303217.0,17.2242,17.44,17.06,17.5799,16.97,156137
2023-10-20 04:00:00,63875487.0,16.2634,16.85,16.11,16.94,15.81,205945
2023-10-23 04:00:00,55967151.0,15.8818,15.9,16.2,16.34,15.21,180689
2023-10-24 04:00:00,39833762.0,16.6167,16.38,16.64,16.93,16.3,131481
2023-10-25 04:00:00,46706480.0,15.9572,16.57,15.59,16.63,15.58,169929
2023-10-26 04:00:00,49351804.0,15.4067,15.6,15.29,15.91,15.05,163239
2023-10-27 04:00:00,39913561.0,15.1799,15.48,15.07,15.6,14.96,138810
2023-10-30 04:00:00,46885854.0,14.8167,15.27,14.69,15.29,14.56,170334
2023-10-31 04:00:00,40195406.0,14.8187,14.58,14.8,15.01,14.55,138723
2023-11-01 04:00:00,54328932.0,14.748,14.8,14.92,14.96,14.48,198917
2023-11-02 04:00:00,170406782.0,17.7428,17.48,17.97,18.3,17.2101,584792
2023-11-03 04:00:00,109302021.0,18.7365,18.02,18.89,19.0789,17.76,358322
2023-11-06 05:00:00,79952555.0,18.3676,18.99,18.54,19.08,17.93,255843
2023-11-07 05:00:00,56289102.0,18.8875,18.86,18.8,19.17,18.53,176300
2023-11-08 05:00:00,46063132.0,18.4529,18.85,18.49,18.93,18.15,161161
2023-11-09 05:00:00,48454200.0,18.5376,18.66,18.27,18.87,18.16,169177
2023-11-10 05:00:00,92955800.0,19.2773,18.155,19.67,19.72,18.06,291892
2023-11-13 05:00:00,74877458.0,19.6213,19.59,19.71,19.88,19.3,208859
2023-11-14 05:00:00,83230466.0,19.8907,20.0,19.94,20.1,19.5,253626
2023-11-15 05:00:00,75533454.0,19.9934,19.9,19.95,20.37,19.611,240996
2023-11-16 05:00:00,49942759.0,19.6594,19.8,19.77,19.875,19.29,152713
2023-11-17 05:00:00,69668728.0,20.2603,19.68,20.49,20.58,19.6587,218845
2023-11-20 05:00:00,90575566.0,21.251,20.65,21.34,21.6,20.56,287330
2023-11-21 05:00:00,106643319.0,20.3867,21.11,19.8,21.85,19.72,370502
2023-11-22 05:00:00,68452455.0,19.7772,20.26,19.69,20.44,19.33,244316
2023-11-24 05:00:00,39800361.0,19.2535,19.38,19.2,19.6,18.93,135142
2023-11-27 05:00:00,58808177.0,19.1726,19.13,19.08,19.5,18.62,222392
2023-11-28 05:00:00,54170695.0,19.5304,19.11,19.71,19.8,19.03,186738
2023-11-29 05:00:00,62782105.0,20.0214,19.945,19.84,20.31,19.78,213554
2023-11-30 05:00:00,55500991.0,19.9591,19.94,20.05,20.23,19.68,189814
2023-12-01 05:00:00,61493670.0,19.9999,19.93,20.27,20.29,19.55,207798
2023-12-04 05:00:00,104948518.0,18.7965,19.75,18.4,19.9,18.27,402711
2023-12-05 05:00:00,54460845.0,18.2646,18.25,18.3,18.55,17.96,206765
2023-12-06 05:00:00,96110978.0,17.4861,17.69,17.13,17.83,17.05,341211
2023-12-07 05:00:00,56454997.0,17.2761,17.22,17.22,17.48,17.08,206884
2023-12-08 05:00:00,57542134.0,17.6295,17.18,17.77,17.92,17.09,205207
2023-12-11 05:00:00,50929623.0,17.9953,17.97,17.77,18.28,17.7,173940
2023-12-12 05:00:00,46231909.0,17.5427,17.69,17.5,17.88,17.2301,167044
2023-12-13 05:00:00,52682624.0,17.5549,17.65,17.87,17.9,17.22,171067
2023-12-14 05:00:00,67462755.0,18.1245,18.17,18.21,18.58,17.72,232624
2023-12-15 05:00:00,93307116.0,18.5023,18.67,18.2,19.15,18.04,278332
2023-12-18 05:00:00,60188148.0,18.0791,18.21,17.84,18.575,17.77,200182
2023-12-19 05:00:00,43530312.0,17.9831,17.98,17.95,18.19,17.84,156962
2023-12-20 05:00:00,58666901.0,17.5586,17.87,17.25,17.92,17.19,194825
2023-12-21 05:00:00,30493554.0,17.5741,17.53,17.59,17.74,17.42,119913
2023-12-22 05:00:00,33693787.0,17.4981,17.7,17.41,17.7,17.325,118192
2023-12-26 05:00:00,31750737.0,17.6293,17.44,17.68,17.745,17.3299,101026
2023-12-27 05:00:00,32918437.0,17.5586,17.78,17.47,17.91,17.45,110634
2023-12-28 05:00:00,38887461.0,17.6284,17.46,17.56,17.84,17.42,128125
2023-12-29 05:00:00,38943466.0,17.2741,17.52,17.17,17.64,17.1,142440
2024-01-02 05:00:00,41626684.0,16.6978,16.95,16.58,16.95,16.5,187621
2024-01-03 05:00:00,46865204.0,16.1527,16.12,16.09,16.38,16.01,189365
2024-01-04 05:00:00,39937698.0,16.3396,16.05,16.25,16.58,15.95,144456
2024-01-05 05:00:00,57662213.0,15.9512,15.7,15.98,16.1279,15.664,204766
2024-01-08 05:00:00,49060953.0,16.6373,16.22,16.67,16.89,16.14,168575
2024-01-09 05:00:00,35794473.0,16.4657,16.51,16.39,16.63,16.28,130607
2024-01-10 05:00:00,41254398.0,16.7931,16.5,16.79,17.0299,16.4,136738
2024-01-11 05:00:00,39552365.0,16.5448,16.81,16.68,16.93,16.17,149790
2024-01-12 05:00:00,33952550.0,16.7781,16.68,16.76,17.06,16.62,118030
2024-01-16 05:00:00,32601260.0,16.5138,16.59,16.53,16.74,16.29,125236
2024-01-17 05:00:00,30832775.0,16.2616,16.26,16.39,16.41,16.05,115195
2024-01-18 05:00:00,35239739.0,16.3438,16.75,16.4,16.81,16.1,126737
2024-01-19 05:00:00,40690625.0,16.4627,16.57,16.78,16.78,16.15,129723
2024-01-22 05:00:00,85573913.0,17.8303,17.46,17.6,18.3503,17.43,292919
2024-01-23 05:00:00,37794300.0,17.4291,17.64,17.33,17.73,17.2,133647
2024-01-24 05:00:00,42710696.0,17.1144,17.51,16.75,17.65,16.735,143190
2024-01-25 05:00:00,44589040.0,16.6106,16.92,16.46,17.0,16.31,158376
2024-01-26 05:00:00,28644156.0,16.4749,16.4,16.35,16.75,16.34,110997
2024-01-29 05:00:00,35987779.0,16.8118,16.45,17.09,17.11,16.43,127402
2024-01-30 05:00:00,36388182.0,16.8796,17.04,16.74,17.24,16.66,132795
2024-01-31 05:00:00,43582546.0,16.3343,16.41,16.09,16.76,16.07,159111
2024-02-01 05:00:00,40454381.0,16.2675,16.21,16.33,16.4868,16.03,147322
2024-02-02 05:00:00,57532675.0,16.6998,16.34,17.02,17.02,16.145,188946
2024-02-05 05:00:00,167698349.0,17.5648,17.56,16.72,17.87,16.48,572108
2024-02-06 05:00:00,421220485.0,21.133,20.3,21.87,22.18,19.76,1303305
2024-02-07 05:00:00,254911069.0,23.1897,21.6,23.6,23.87,21.38,814915
2024-02-08 05:00:00,212671149.0,24.3747,23.96,24.51,25.06,23.32,644219
2024-02-09 05:00:00,149061975.0,24.3486,25.04,24.38,25.11,23.57,494144
2024-02-12 05:00:00,108173046.0,24.8157,23.91,25.05,25.525,23.82,360743
